"","year","variable","abb","state","value","value_real","drop"
"313",1956,"z_gasoline_tax","CT","Connecticut",0.06,0.443672377604201,NA
"314",1956,"z_gasoline_tax","DC","District of Columbia",0.06,0.610133200678553,NA
"315",1956,"z_gasoline_tax","DE","Delaware",0.05,0.395314894534734,NA
"316",1956,"z_gasoline_tax","FL","Florida",0.07,0.821226584502925,NA
"317",1956,"z_gasoline_tax","GA","Georgia",0.065,0.848695601245365,NA
"318",1956,"z_gasoline_tax","HI","Hawaii",0.05,0.414567308525947,NA
"319",1956,"z_gasoline_tax","IA","Iowa",0.06,0.575604367869753,NA
"320",1956,"z_gasoline_tax","ID","Idaho",0.06,0.600993157359252,NA
"321",1956,"z_gasoline_tax","IL","Illinois",0.05,0.462441826991641,NA
"322",1956,"z_gasoline_tax","IN","Indiana",0.04,0.38814412150653,NA
"323",1956,"z_gasoline_tax","KS","Kansas",0.05,0.468776553994394,NA
"324",1956,"z_gasoline_tax","KY","Kentucky",0.07,0.916619644777267,NA
"325",1956,"z_gasoline_tax","LA","Louisiana",0.07,0.881168065098072,NA
"326",1956,"z_gasoline_tax","MA","Massachusetts",0.05,0.414760948980849,NA
"327",1956,"z_gasoline_tax","MD","Maryland",0.06,0.610133200678553,NA
"328",1956,"z_gasoline_tax","ME","Maine",0.07,0.590638398761278,NA
"329",1956,"z_gasoline_tax","MI","Michigan",0.06,0.585937043381093,NA
"330",1956,"z_gasoline_tax","MN","Minnesota",0.05,0.471866877286524,NA
"331",1956,"z_gasoline_tax","MO","Missouri",0.03,0.286471947266076,NA
"332",1956,"z_gasoline_tax","MS","Mississippi",0.07,1.0493322538001,NA
"333",1956,"z_gasoline_tax","MT","Montana",0.07,0.663373484206159,NA
"334",1956,"z_gasoline_tax","NC","North Carolina",0.07,0.964227998455974,NA
"335",1956,"z_gasoline_tax","ND","North Dakota",0.06,0.538426901113844,NA
"336",1956,"z_gasoline_tax","NE","Nebraska",0.06,0.534839216648062,NA
"337",1956,"z_gasoline_tax","NH","New Hampshire",0.05,0.387310240107445,NA
"338",1956,"z_gasoline_tax","NJ","New Jersey",0.04,0.325027912422035,NA
"339",1956,"z_gasoline_tax","NM","New Mexico",0.06,0.614324508533236,NA
"340",1956,"z_gasoline_tax","NV","Nevada",0.06,0.455682514982522,NA
"341",1956,"z_gasoline_tax","NY","New York",0.04,0.347093846911531,NA
"342",1956,"z_gasoline_tax","OH","Ohio",0.05,0.49056853008315,NA
"343",1956,"z_gasoline_tax","OK","Oklahoma",0.0658,0.766481253484674,NA
"344",1956,"z_gasoline_tax","OR","Oregon",0.06,0.595043931458746,NA
"345",1956,"z_gasoline_tax","PA","Pennsylvania",0.06,0.570179669971511,NA
"346",1956,"z_gasoline_tax","RI","Rhode Island",0.04,0.308135341842483,NA
