"","State","Year","Chamber","CI","EI","GDPCurrent","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","TotalProd","CoalProd","RenProd","GasProd","OilProd","CoalPrice","NatPrice","OilPrice","Emissions","Area","GDPpc","CoalValue","NatValue","OilValue","CI_Lag1","EI_Lag1","Emissions_Lag1","Weighted_GHI","Weighted_Speed120m"
"372","KY",2001,10.192,79.03,12.07,117647.9,1.02921541450212,1.11825260837299,0.0041708216902672,0.0160768453164814,4068,25564,1.209,3484314,1.95483357699679,1.02495814097122,1.02495814097122,1.00494214930113,1.15,7.62,9.28,151.05,39650,28.9203294001967,33.5206059776673,6.63248846770746,2.3583038881272,79.03,12.07,151.05,0.639566729073384,1.35405766453134
"373","KY",2002,10.192,78.2,12.78,122435.3,1.03270850244144,1.11867883323574,0.0050785821720975,0.0158295322637152,4090,26053,1.168,3271676,1.94721635027429,1.02874734539728,1.02874734539728,1.0048238272983,1.23,5.61,8.32,151.3,39650,29.9352811735941,32.1327823756711,5.30947382005026,2.07245410433102,78.2,12.78,151.3,0.639566729073384,1.35405766453134
"374","KY",2003,10.249,78.2,12.02,127982.2,1.03665173753844,1.12027720771241,0.00533354772256166,0.0146811985486588,4117,26661,1.196,2983050,1.94193392668577,1.03113558270897,1.03113558270897,1.00493454685641,1.26,7.47,9.51,147.8,39650,31.0862764148652,28.6631700345829,6.42111426432738,2.09380210685548,78.2,12.02,147.8,0.639566729073384,1.35405766453134
"375","KY",2004,10.2535,78.4,12.14,135529.3,1.03562907682614,1.11679548515514,0.00487777555896852,0.015149716937322,4146,28030,1.15,3030331,1.93900501298373,1.03330164262584,1.03330164262584,1.00487669498811,1.41,8.55,11.22,154.5,39650,32.6891702846117,30.6035570168222,7.36632263281814,2.22341929014612,78.4,12.14,154.5,0.639566729073384,1.35405766453134
"376","KY",2005,10.3225,78.2,11.79,145011.1,1.03702512688305,1.11934067883363,0.00371648427674997,0.0170182856388133,4183,29104,1.132,3153945,1.94291339893372,1.03104271000287,1.03104271000287,1.00466178072224,1.62,10.78,14.42,156.3,39650,34.6667702605785,34.2230645791943,8.27832186639505,2.4620760755556,78.2,11.79,156.3,0.639566729073384,1.35405766453134
"377","KY",2006,10.3105,79,11.44,153408.4,1.03486607085091,1.10807795173156,0.00390882790981455,0.0185860984451678,4219,30476,1.153,3177945,1.9442828620382,1.03181332590715,1.03181332590715,1.00427068435734,1.81,10.92,16.33,158.7,39650,36.3613178478312,36.4060859118536,8.19662626036123,2.44471071988235,79,11.44,158.7,0.639566729073384,1.35405766453134
"378","KY",2007,10.2695,78.7,11.72,157163.7,1.03219904508453,1.11539018472135,0.00427493798954693,0.0174695994735879,4257,31529,1.096,3045205,1.94341103472508,1.03303915499942,1.03303915499942,1.00507781906308,1.86,9.46,18.28,158.5,39650,36.9188865398168,34.9999427348682,7.05597895697289,2.79853006769375,78.7,11.72,158.5,0.639566729073384,1.35405766453134
"379","KY",2008,10.28,78.9,11.55,159883.8,1.03559658301487,1.11611305491896,0.00383057149190964,0.0200754592660266,4290,32830,1.087,3125525,1.93677062253541,1.03879636221115,1.03879636221115,1.00490829540637,2.26,11.54,22.74,155.8,39650,37.268951048951,42.3866445506049,9.75216163238552,3.18192424748474,78.9,11.55,155.8,0.639566729073384,1.35405766453134
"380","KY",2009,NA,77.8,11.58,157479.8,1.04405617954244,1.11100225878647,0.00380731714196388,0.0208733173140354,4317,32198,1.125,2825801,1.92580440023908,1.04306566527508,1.04306566527508,1.00535494183773,2.27,8.43,15.9,146,39650,36.4789900393792,38.7104589287007,7.51441549963868,2.52780737593012,77.8,11.58,146,0.639566729073384,1.35405766453134
"381","KY",2010,NA,77.3,11.53,166408.7,1.04219612573512,1.11935489830042,0.00356090169976772,0.0204174262638272,4348,33187,1.129,2787101,1.91711531085526,1.05223707357573,1.05223707357573,1.00524200594094,2.36,7.13,19.77,152.9,39650,38.272470101196,37.2503852262532,7.2379953692325,2.73572475477544,77.3,11.53,152.9,0.639566729073384,1.35405766453134
